Week,Desde,Hasta,Hoteles,Hotel id (P),Hotel,Campaigns,Impressions,Clicks,Conversions,Searchs,Bookings,Cancel_bookings,Nights,Conversion,Discount,Inventory,H.Ventas,H.Cancelaciones,PX.Ingresos,PX.Costos,Roi
20,2026-05-17,2026-05-21,1,18045,Rayentray Las Restingas Hotel de Mar,10,3111,128,45,53,1,0,3,0.01,-9.57,93.91,656.291,0,"91.880,74","27.352,13",235.92
20,2026-05-17,2026-05-21,1,18095,Antu Mahuida Apartments,10,1304,40,15,25,0,0,0,1.17,25.44,87.03,0,0,0,"22.987,88",-100
20,2026-05-17,2026-05-21,1,18651,Estancia La Bandada,10,6100,484,59,280,0,0,0,1.15,0,35.75,0,0,0,"44.041,02",-100
20,2026-05-17,2026-05-21,1,19012,W&H Casa de Huéspedes,9,3728,129,47,52,0,0,0,0.2,-3.82,82.35,0,0,0,"25.953,96",-100
20,2026-05-17,2026-05-21,1,19344,Palmeras Apart Santa Teresita,10,3718,138,36,50,0,0,0,0.96,34.55,87.97,0,0,0,"29.858,35",-100
20,2026-05-17,2026-05-20,1,20047,Hotel Surflodge Punta de Lobos,4,305,37,4,27,0,0,0,1.79,13.75,47.6,0,0,0,"15.124,04",-100
20,2026-05-17,2026-05-21,1,20138,Parque Laguna de Zapallar,8,2886,169,56,77,0,0,0,2.91,-6.06,77.46,0,0,"0,00","25.116,62",-100
20,2026-05-17,2026-05-21,1,20322,Casa Lahusen,10,1595,99,36,36,0,0,0,2.28,38.96,76.17,0,0,0,"16.550,47",-100
20,2026-05-19,2026-05-21,1,21348,EQUS POSADA DE CAMPO,4,27,5,5,0,0,0,0,0.42,42.72,82.91,0,0,"0,00","3.116,18",-100
20,2026-05-17,2026-05-21,1,21398,Hotel Mar y Cielo Necochea,10,3694,167,51,62,1,0,2,0.98,0,84.92,148.388,0,"20.774,32","26.956,78",-22.93
